id_movimiento,fecha,almacen,provincia,producto,categoria,caduca,estado_ciclo,cantidad,costo_almacenamiento,fecha_vencimiento
1,2025-05-22 20:21:50,Sucursal Mendoza,Mendoza,Martillo carpintero,Herramientas manuales,False,Devuelto a proveedor,47.0,28.28,
2,2024-10-29 18:09:17,Depósito Central,Buenos Aires,Alicate universal,Herramientas manuales,False,Devuelto cliente,37.0,35.5,
3,2024-09-26 05:35:28,Sucursal Córdoba,Córdoba,Taladro eléctrico,Herramientas eléctricas,False,Devuelto a proveedor,49.0,54.37,
4,2025-07-01 12:13:32,Sucursal Córdoba,Córdoba,Soldadora eléctrica,Herramientas eléctricas,False,Removido inventario,62.0,84.93,
5,2025-01-01 07:55:59,Sucursal Córdoba,Córdoba,Caño galvanizado 1m,Plomería,False,Empacado,74.0,93.29,
6,2024-12-20 15:01:54,Sucursal Rosario,Santa Fe,Amoladora angular,Herramientas eléctricas,False,Autorizado venta,36.0,25.21,
7,2024-12-12 04:56:56,Depósito Central,Buenos Aires,Arena fina m3,Materiales construcción,False,Boca de inspección,278.0,245.72,
8,2024-11-09 17:03:42,Sucursal Tucumán,Tucumán,Pegamento de contacto,Adhesivos y selladores,True,En bandeja,99.0,212.72,2026-05-23 17:03:42
9,2025-06-29 12:53:00,Sucursal Rosario,Santa Fe,Grifería monocomando,Plomería,False,Boca de inspección,68.0,81.17,
10,2024-10-26 07:47:54,Sucursal Tucumán,Tucumán,Fertilizante granulado,Jardinería,False,Devuelto a proveedor,,136.55,
11,2025-06-06 07:46:13,Sucursal Mendoza,Mendoza,Amoladora angular,Herramientas eléctricas,False,Boca de inspección,33.0,57.41,
12,2025-07-01 03:59:52,Sucursal Mendoza,Mendoza,Llave inglesa,Herramientas manuales,False,Empacado,33.0,44.36,
13,2025-08-29 00:11:25,Sucursal Mendoza,Mendoza,Adhesivo epoxi,Adhesivos y selladores,True,Autorizado venta,86.0,64.52,2026-08-27 00:11:25
14,2025-04-16 07:39:31,Sucursal Córdoba,Córdoba,Alicate universal,Herramientas manuales,False,Enviado cliente,11.0,16.64,
15,2024-10-20 06:48:10,Sucursal Rosario,Santa Fe,Pernos con tuerca,Fijaciones,False,En bandeja,113.0,223.87,
16,2025-05-03 20:15:47,Sucursal Mendoza,Mendoza,Válvula esférica,Plomería,False,Recibido,65.0,39.8,
17,2025-02-27 09:04:14,Sucursal Rosario,Santa Fe,Sierra circular,Herramientas eléctricas,False,En bandeja,24.0,7.66,
